id,value,target
1,10,20
2,15,30
3,20,40
4,25,50
5,30,60
6,35,70
7,40,80
8,45,90
9,50,100
10,55,110
11,60,120
12,65,130
13,70,140
14,75,150
15,80,160
16,85,170
17,90,180
18,95,190
19,100,200
20,105,210
21,110,220
22,115,230
23,120,240
24,125,250
25,130,260
26,135,270
27,140,280
28,145,290
29,150,300
30,155,310
31,160,320
32,165,330
33,170,340
34,175,350
35,180,360
36,185,370
37,190,380
38,195,390
39,200,400
40,205,410
41,210,420
42,215,430
43,220,440
44,225,450
45,230,460
46,235,470
47,240,480
48,245,490
49,250,500
50,255,510
